"County Name","Party","Count"
"GREENE","PF","1"
"GREENE","R","1,483"
"GREENE","RF","1"
"GREENE",,"2"
"HUNTINGDON","AI","1"
"HUNTINGDON","C","3"
"HUNTINGDON","CL","1"
"HUNTINGDON","D","2,467"
"HUNTINGDON","GR","5"
"HUNTINGDON","I","62"
"HUNTINGDON","INDE","4"
"HUNTINGDON","LN","19"
"HUNTINGDON","NF","341"
"HUNTINGDON","NON","3"
"HUNTINGDON","NOP","3"
"HUNTINGDON","OTH","14"
"HUNTINGDON","PP","2"
"HUNTINGDON","R","2,211"
"HUNTINGDON","UND","1"
"HUNTINGDON",,"5"
"INDIANA","C","1"
"INDIANA","CL","1"
"INDIANA","D","6,673"
"INDIANA","GR","15"
"INDIANA","I","115"
"INDIANA","INDE","8"
"INDIANA","IR","1"
"INDIANA","LN","41"
"INDIANA","NF","821"
"INDIANA","NO","12"
"INDIANA","NON","3"
"INDIANA","NOP","170"
"INDIANA","NOPA","1"
"INDIANA","OTH","22"
"INDIANA","R","4,578"
"INDIANA","S","1"
"INDIANA","UNA","1"
"INDIANA","UND","2"
"INDIANA","USM","2"
"INDIANA",,"2"
"JEFFERSON","CL","1"
"JEFFERSON","D","2,252"
"JEFFERSON","GR","3"
"JEFFERSON","I","70"
"JEFFERSON","ID","1"
"JEFFERSON","LN","29"
"JEFFERSON","N","1"
"JEFFERSON","NEO","1"
"JEFFERSON","NF","305"
"JEFFERSON","NO","5"
"JEFFERSON","NON","9"
"JEFFERSON","NOP","41"
"JEFFERSON","OTH","10"
"JEFFERSON","R","2,498"
"JEFFERSON","RF","2"
"JEFFERSON","RL","1"
"JEFFERSON",,"3"
"JUNIATA","CNT","1"
"JUNIATA","D","1,075"
"JUNIATA","GR","2"
"JUNIATA","I","37"
"JUNIATA","INDE","1"
"JUNIATA","LN","6"
"JUNIATA","NF","203"
"JUNIATA","NO","7"
"JUNIATA","NOP","4"
"JUNIATA","OTH","11"
"JUNIATA","R","1,414"
"JUNIATA",,"1"
"LACKAWANNA","AC","1"
"LACKAWANNA","AE","1"
"LACKAWANNA","AM","1"
"LACKAWANNA","BP","1"
"LACKAWANNA","CL","2"
"LACKAWANNA","CNT","1"
"LACKAWANNA","CT","1"
"LACKAWANNA","D","36,274"
"LACKAWANNA","FE","1"
"LACKAWANNA","GP","2"
"LACKAWANNA","GR","48"
"LACKAWANNA","H","1"
"LACKAWANNA","I","489"
"LACKAWANNA","IND","2"
"LACKAWANNA","INDE","7"
"LACKAWANNA","ITENT","1"
"LACKAWANNA","IV","1"
"LACKAWANNA","LI","4"
"LACKAWANNA","LN","127"
"LACKAWANNA","M","1"
"LACKAWANNA","N","1"
"LACKAWANNA","NF","3,107"
"LACKAWANNA","NO","11"
"LACKAWANNA","NON","3"
"LACKAWANNA","NOP","13"
"LACKAWANNA","OTH","60"
"LACKAWANNA","R","9,674"
"LACKAWANNA","RF","3"
"LACKAWANNA","S","1"
"LACKAWANNA","UND","2"
"LACKAWANNA","WH","1"
"LACKAWANNA",,"14"
"LANCASTER","AC","1"
"LANCASTER","AD","1"
"LANCASTER","AI","2"
"LANCASTER","ANY","1"
"LANCASTER","ASP","3"
"LANCASTER","BP","1"
"LANCASTER","C","8"
"LANCASTER","CL","6"
"LANCASTER","COD","1"
"LANCASTER","COI","2"
"LANCASTER","CT","5"
"LANCASTER","D","53,307"
"LANCASTER","DPN","1"
"LANCASTER","DS","1"
"LANCASTER","GP","2"
"LANCASTER","GR","152"
"LANCASTER","I","1,431"
"LANCASTER","ID","4"
"LANCASTER","IDK","2"
"LANCASTER","IND","3"
"LANCASTER","INDE","49"
"LANCASTER","IR","3"
"LANCASTER","IT","1"
"LANCASTER","ITENT","1"
"LANCASTER","JD","2"
"LANCASTER","LI","3"
"LANCASTER","LN","462"
"LANCASTER","LR","1"
"LANCASTER","M","2"
"LANCASTER","MWP","1"
"LANCASTER","N","1"
"LANCASTER","NF","9,620"
"LANCASTER","NO","2,304"
"LANCASTER","NON","40"
"LANCASTER","NOP","143"
"LANCASTER","OBA","2"
"LANCASTER","OP","2"
"LANCASTER","OTH","341"
"LANCASTER","PP","3"
"LANCASTER","PR","1"
"LANCASTER","R","39,739"
"LANCASTER","RF","3"
"LANCASTER","S","3"
"LANCASTER","SPL","1"
"LANCASTER","SPU","1"
"LANCASTER","UNA","3"
"LANCASTER","UND","2"
"LANCASTER","UNDT","1"
"LANCASTER","VP","2"
"LANCASTER","WFP","1"
"LANCASTER",,"122"
"LAWRENCE","C","1"
"LAWRENCE","CM","1"
"LAWRENCE","D","8,995"
"LAWRENCE","DS","1"
"LAWRENCE","GM","1"
"LAWRENCE","GR","8"
"LAWRENCE","I","172"
"LAWRENCE","INDE","2"
"LAWRENCE","IT","1"
"LAWRENCE","LN","62"
"LAWRENCE","NA","2"
"LAWRENCE","NF","808"
"LAWRENCE","NO","125"
"LAWRENCE","NON","15"
"LAWRENCE","NOP","2"
"LAWRENCE","OTH","57"
"LAWRENCE","R","4,668"
"LAWRENCE","RF","1"
"LAWRENCE","UNK","1"
"LAWRENCE",,"34"
"LEBANON","AC","1"
"LEBANON","AI","1"
"LEBANON","C","1"
"LEBANON","CN","1"
"LEBANON","CT","4"
"LEBANON","D","12,393"
"LEBANON","GP","2"
"LEBANON","GR","28"
"LEBANON","I","351"
"LEBANON","IND","2"
"LEBANON","INDE","7"
