"Year","County FIPS Code","County Name","Gross Domestic Product ($1,000)","GDP Unit of Measure"
"2020","42131","Wyoming, PA","$1,540,736","Thousands of dollars"
"2020","42133","York, PA","$21,850,823","Thousands of dollars"
"2019","42001","Adams, PA","$4,016,988","Thousands of dollars"
"2019","42003","Allegheny, PA","$106,988,428","Thousands of dollars"
"2019","42005","Armstrong, PA","$2,300,541","Thousands of dollars"
"2019","42007","Beaver, PA","$7,853,806","Thousands of dollars"
"2019","42009","Bedford, PA","$1,570,715","Thousands of dollars"
"2019","42011","Berks, PA","$21,166,058","Thousands of dollars"
"2019","42013","Blair, PA","$6,329,804","Thousands of dollars"
"2019","42015","Bradford, PA","$3,833,118","Thousands of dollars"
"2019","42017","Bucks, PA","$37,059,605","Thousands of dollars"
"2019","42019","Butler, PA","$11,095,232","Thousands of dollars"
"2019","42021","Cambria, PA","$4,878,319","Thousands of dollars"
"2019","42023","Cameron, PA","$207,212","Thousands of dollars"
"2019","42025","Carbon, PA","$2,803,263","Thousands of dollars"
"2019","42027","Centre, PA","$9,230,895","Thousands of dollars"
"2019","42029","Chester, PA","$47,524,245","Thousands of dollars"
"2019","42031","Clarion, PA","$1,265,024","Thousands of dollars"
"2019","42033","Clearfield, PA","$3,004,208","Thousands of dollars"
"2019","42035","Clinton, PA","$1,708,577","Thousands of dollars"
"2019","42037","Columbia, PA","$2,603,456","Thousands of dollars"
"2019","42039","Crawford, PA","$3,124,366","Thousands of dollars"
"2019","42041","Cumberland, PA","$17,131,995","Thousands of dollars"
"2019","42043","Dauphin, PA","$24,096,046","Thousands of dollars"
"2019","42045","Delaware, PA","$36,229,125","Thousands of dollars"
"2019","42047","Elk, PA","$1,575,088","Thousands of dollars"
"2019","42049","Erie, PA","$12,167,025","Thousands of dollars"
"2019","42051","Fayette, PA","$4,836,482","Thousands of dollars"
"2019","42053","Forest, PA","$250,736","Thousands of dollars"
"2019","42055","Franklin, PA","$6,504,101","Thousands of dollars"
"2019","42057","Fulton, PA","$726,022","Thousands of dollars"
"2019","42059","Greene, PA","$3,030,175","Thousands of dollars"
"2019","42061","Huntingdon, PA","$1,363,087","Thousands of dollars"
"2019","42063","Indiana, PA","$4,345,279","Thousands of dollars"
"2019","42065","Jefferson, PA","$1,623,692","Thousands of dollars"
"2019","42067","Juniata, PA","$790,346","Thousands of dollars"
"2019","42069","Lackawanna, PA","$10,429,957","Thousands of dollars"
"2019","42071","Lancaster, PA","$30,862,240","Thousands of dollars"
"2019","42073","Lawrence, PA","$3,238,422","Thousands of dollars"
"2019","42075","Lebanon, PA","$6,086,984","Thousands of dollars"
"2019","42077","Lehigh, PA","$24,690,673","Thousands of dollars"
"2019","42079","Luzerne, PA","$16,229,102","Thousands of dollars"
"2019","42081","Lycoming, PA","$5,979,913","Thousands of dollars"
"2019","42083","McKean, PA","$1,756,189","Thousands of dollars"
"2019","42085","Mercer, PA","$4,618,632","Thousands of dollars"
"2019","42087","Mifflin, PA","$1,812,234","Thousands of dollars"
"2019","42089","Monroe, PA","$7,960,053","Thousands of dollars"
"2019","42091","Montgomery, PA","$83,475,231","Thousands of dollars"
"2019","42093","Montour, PA","$2,047,332","Thousands of dollars"
"2019","42095","Northampton, PA","$16,498,011","Thousands of dollars"
"2019","42097","Northumberland, PA","$3,321,329","Thousands of dollars"
"2019","42099","Perry, PA","$1,033,718","Thousands of dollars"
"2019","42101","Philadelphia, PA","$112,417,514","Thousands of dollars"
"2019","42103","Pike, PA","$1,470,189","Thousands of dollars"
"2019","42105","Potter, PA","$934,541","Thousands of dollars"
"2019","42107","Schuylkill, PA","$5,148,201","Thousands of dollars"
"2019","42109","Snyder, PA","$1,616,711","Thousands of dollars"
"2019","42111","Somerset, PA","$2,615,897","Thousands of dollars"
"2019","42113","Sullivan, PA","$279,313","Thousands of dollars"
"2019","42115","Susquehanna, PA","$2,254,526","Thousands of dollars"
"2019","42117","Tioga, PA","$1,696,572","Thousands of dollars"
"2019","42119","Union, PA","$1,959,831","Thousands of dollars"
"2019","42121","Venango, PA","$1,873,203","Thousands of dollars"
"2019","42123","Warren, PA","$1,485,771","Thousands of dollars"
"2019","42125","Washington, PA","$13,509,589","Thousands of dollars"
"2019","42127","Wayne, PA","$1,957,679","Thousands of dollars"
"2019","42129","Westmoreland, PA","$15,584,361","Thousands of dollars"
"2019","42131","Wyoming, PA","$1,668,305","Thousands of dollars"
"2019","42133","York, PA","$22,487,776","Thousands of dollars"
"2018","42001","Adams, PA","$4,016,825","Thousands of dollars"
"2018","42003","Allegheny, PA","$103,296,979","Thousands of dollars"
"2018","42005","Armstrong, PA","$2,339,453","Thousands of dollars"
"2018","42007","Beaver, PA","$7,418,380","Thousands of dollars"
"2018","42009","Bedford, PA","$1,516,519","Thousands of dollars"
"2018","42011","Berks, PA","$20,864,174","Thousands of dollars"
"2018","42013","Blair, PA","$6,058,725","Thousands of dollars"
"2018","42015","Bradford, PA","$3,389,770","Thousands of dollars"
"2018","42017","Bucks, PA","$36,648,999","Thousands of dollars"
"2018","42019","Butler, PA","$10,598,859","Thousands of dollars"
"2018","42021","Cambria, PA","$4,802,374","Thousands of dollars"
"2018","42023","Cameron, PA","$207,884","Thousands of dollars"
"2018","42025","Carbon, PA","$2,574,730","Thousands of dollars"
"2018","42027","Centre, PA","$8,986,157","Thousands of dollars"
"2018","42029","Chester, PA","$46,810,519","Thousands of dollars"
"2018","42031","Clarion, PA","$1,238,363","Thousands of dollars"
"2018","42033","Clearfield, PA","$2,906,007","Thousands of dollars"
"2018","42035","Clinton, PA","$1,666,860","Thousands of dollars"
"2018","42037","Columbia, PA","$2,475,695","Thousands of dollars"
